Start_state = S0
STRING_CONTENT e STRING_CONTENT
STRING_CONTENT f STRING_CONTENT
STRING_CONTENT g STRING_CONTENT
STRING_CONTENT h STRING_CONTENT
STRING_CONTENT i STRING_CONTENT
STRING_CONTENT j STRING_CONTENT
STRING_CONTENT k STRING_CONTENT
STRING_CONTENT l STRING_CONTENT
STRING_CONTENT m STRING_CONTENT
STRING_CONTENT n STRING_CONTENT
STRING_CONTENT o STRING_CONTENT
STRING_CONTENT p STRING_CONTENT
STRING_CONTENT q STRING_CONTENT
STRING_CONTENT r STRING_CONTENT
STRING_CONTENT s STRING_CONTENT
STRING_CONTENT t STRING_CONTENT
STRING_CONTENT u STRING_CONTENT
STRING_CONTENT v STRING_CONTENT
STRING_CONTENT w STRING_CONTENT
STRING_CONTENT x STRING_CONTENT
STRING_CONTENT y STRING_CONTENT
STRING_CONTENT z STRING_CONTENT
STRING_CONTENT A STRING_CONTENT
STRING_CONTENT B STRING_CONTENT
STRING_CONTENT C STRING_CONTENT
STRING_CONTENT D STRING_CONTENT
STRING_CONTENT E STRING_CONTENT
STRING_CONTENT F STRING_CONTENT
STRING_CONTENT G STRING_CONTENT
STRING_CONTENT H STRING_CONTENT
STRING_CONTENT I STRING_CONTENT
STRING_CONTENT J STRING_CONTENT
STRING_CONTENT K STRING_CONTENT
STRING_CONTENT L STRING_CONTENT
STRING_CONTENT M STRING_CONTENT
STRING_CONTENT N STRING_CONTENT
STRING_CONTENT O STRING_CONTENT
STRING_CONTENT P STRING_CONTENT
STRING_CONTENT Q STRING_CONTENT
STRING_CONTENT R STRING_CONTENT
STRING_CONTENT S STRING_CONTENT
STRING_CONTENT T STRING_CONTENT
STRING_CONTENT U STRING_CONTENT
STRING_CONTENT V STRING_CONTENT
STRING_CONTENT W STRING_CONTENT
STRING_CONTENT X STRING_CONTENT
STRING_CONTENT Y STRING_CONTENT
STRING_CONTENT Z STRING_CONTENT
STRING_CONTENT 0 STRING_CONTENT
STRING_CONTENT 1 STRING_CONTENT
STRING_CONTENT 2 STRING_CONTENT
STRING_CONTENT 3 STRING_CONTENT
STRING_CONTENT 4 STRING_CONTENT
STRING_CONTENT 5 STRING_CONTENT
STRING_CONTENT 6 STRING_CONTENT
STRING_CONTENT 7 STRING_CONTENT
STRING_CONTENT 8 STRING_CONTENT
STRING_CONTENT 9 STRING_CONTENT
STRING_CONTENT SPACE STRING_CONTENT
STRING_CONTENT = STRING_CONTENT
STRING_CONTENT + STRING_CONTENT
STRING_CONTENT - STRING_CONTENT
STRING_CONTENT * STRING_CONTENT
STRING_CONTENT / STRING_CONTENT
STRING_CONTENT ( STRING_CONTENT
STRING_CONTENT ) STRING_CONTENT
STRING_CONTENT , STRING_CONTENT
STRING_CONTENT . STRING_CONTENT
STRING_CONTENT : STRING_CONTENT
STRING_CONTENT ; STRING_CONTENT
STRING_CONTENT ! STRING_CONTENT
STRING_CONTENT ? STRING_CONTENT
STRING_CONTENT @ STRING_CONTENT
STRING_CONTENT # STRING_CONTENT
STRING_CONTENT $ STRING_CONTENT
STRING_CONTENT % STRING_CONTENT
STRING_CONTENT ^ STRING_CONTENT
STRING_CONTENT & STRING_CONTENT
STRING_CONTENT _ STRING_CONTENT
STRING_CONTENT | STRING_CONTENT
STRING_CONTENT \ STRING_CONTENT
STRING_CONTENT < STRING_CONTENT
STRING_CONTENT > STRING_CONTENT
STRING_CONTENT [ STRING_CONTENT
STRING_CONTENT ] STRING_CONTENT
STRING_CONTENT { STRING_CONTENT
STRING_CONTENT } STRING_CONTENT
STRING_CONTENT ~ STRING_CONTENT
STRING_CONTENT ` STRING_CONTENT

STRING_CONTENT ' STRING_LITERAL

# Arithmetic
S0 + ARITHMETIC_OPERATOR
S0 - ARITHMETIC_OPERATOR
S0 * ARITHMETIC_OPERATOR
S0 / ARITHMETIC_OPERATOR


# Relational
S0 = RELATIONAL_OPERATOR
S0 < LT_OP
S0 > GT_OP
LT_OP = RELATIONAL_OPERATOR
LT_OP > RELATIONAL_OPERATOR
GT_OP = RELATIONAL_OPERATOR

# Assignment
S0 : COLON
COLON = ASSIGN_OPERATOR

# delimiters
S0 ; SEMICOLON
S0 , COMMA
S0 : COLON
S0 . DOT
S0 ( LPARENTHESIS
S0 ) RPARENTHESIS
S0 [ LBRACKET
S0 ] RBRACKET

# range
DOT . RANGE_OPERATOR
